RNAS	nombre	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	habilita_opcion
125707	OBRA SOCIAL UNION PERSONAL DE LA UNION DEL  PERSONAL CIVIL DE LA NACION	OSPCN             	TUCUMAN 949                                       	CAPITAL FEDERAL - TUCUMAN(1-1300)	1049	CAPITAL FEDERAL               	0810-888-2226       	0810-8888646        		www.unionpersonal.com.ar                          	SI
112202	OBRA SOCIAL DE LOS  SUPERVISORES DE LA INDUSTRIA METALMECANICA DE LA REPUBLICA ARGENTINA	OSSIMRA           	AZCUENAGA 1234                                    	CAPITAL FEDERAL - AZCUENAGA(801-1600)	1115	CAPITAL FEDERAL               	4 -823-3071/75      	0-800-888-2746      	asimra@arnet.com.ar	www.ossimra.org.ar                                	SI
107107	OBRA SOCIAL DEL PERSONAL DEL ESPECTACULO PUBLICO	OSPEP             	PASCO 148/54                                      	CAPITAL FEDERAL - PASCO(1-500)	1081	CAPITAL FEDERAL               	4951-2538           	                    		www.ospepsalud.com.ar                             	SI
121002	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL	OSPIT             	AVDA. LA PLATA 754                                	CAPITAL FEDERAL - LA PLATA AVDA.(301-1000)	1235	CAPITAL FEDERAL               	4 -923-4061/63      	0800-333-63733      	ospit@aotra.org.ar	www.ospit.org.ar                                  	SI
103105	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZADO	OSPICAL           	YATAY 129 PISO 4                                  	CAPITAL FEDERAL - YATAY(1-1200)	1184	CAPITAL FEDERAL               	4 981-1164          	                    	institucional@ospical.org.ar	                                                  	SI
119708	OBRA SOCIAL DEL PERSONAL DE SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS	OSPSIP            	PARANA 717/19                                     	CAPITAL FEDERAL - PARANA(1-1000)	1017	CAPITAL FEDERAL               	                    	0800-333-6777       	info@ospsip.org.ar	www.ospsip.org.ar                                 	NO
106906	OBRA SOCIAL DEL PERSONAL DE ESCRIBANIAS DE LA PROVINCIA DE BUENOS AIRES	OSPEPBA           	CALLE 45  Nº 509                                  	LA PLATA	1900	BUENOS AIRES                  	0221-4251629        	0800-333-1706       	social@empleadosescribania.org.ar	www.empleadosescribania.org.ar                    	SI
105408	OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION	OSPECON           	AVDA. BELGRANO 1862/70                            	CAPITAL FEDERAL - BELGRANO AVDA.(1801-2300)	1094	CAPITAL FEDERAL               	4 -384-7140/50      	0800-222-0123       	salud@uocra.org	www.construirsalud.com.ar.                        	SI
100502	OBRA SOCIAL DEL PERSONAL AERONAUTICO	OSPA              	ANCHORENA 1266                                    	CAPITAL FEDERAL - ANCHORENA TOMAS MANUEL DE DOCTOR	1425	CAPITAL FEDERAL               	4 -823-7121         	                    	ospa@ospa.com.ar	www.ospa.com.ar                                   	SI
114307	OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA	OSTPCHPYARA       	BOGADO 4541                                       	CAPITAL FEDERAL - BOGADO(4401-4600)	1183	CAPITAL FEDERAL               	4 -864-1799         	                    	ostpcphyara@pasteleros.orq.ar	                                                  	SI
